asin,average,rating_count,text_reviews_count,genres,rank,verifiedTrue_count,Format,am_countText_before,am_countText_after
0001713353,4.83,54,54," Childrens Books, Literature & Fiction",1461315,36," Paperback,  Hardcover",2362,1037
0001061240,4.87,45,45," Childrens Books, Literature & Fiction",321557,30, Hardcover,3085,1326
0001711296,4.44,107,107, Literature & Fiction,2884610,69," Library Binding,  VHS Tape,  Paperback,  Hardcover",5667,2574
0002007649,3.37,19,19," Science & Math, Chemistry",9799524,3," Kindle Edition,  Paperback,  Hardcover",5668,2810
0001716069,4.61,59,59," Literature & Fiction, Poetry",3841172,44," Kindle Edition,  Paperback,  Hardcover",3081,1457
0001841572,3.5,16,16, Science Fiction & Fantasy,8884967,8," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2641,1289
0002117010,4.76,55,55," History, Europe",498374,28," Mass Market Paperback,  Paperback,  Hardcover",4020,1876
0001840266,4.71,14,14,na,2127813,11, Hardcover,732,356
0001983008,4.5,36,36," Childrens Books, Animals",14532434,29," Board book,  Kindle Edition,  Paperback,  Hardcover",1613,750
0001712764,4.79,84,84," Childrens Books, Animals",1525356,66," Library Binding,  Paperback,  Hardcover",3397,1565
0001713205,4.92,89,89, Childrens Books,1662616,73," Paperback,  Hardcover",3101,1389
0002006995,4.74,92,92," Childrens Books, Literature & Fiction",5777307,53," Kindle Edition,  Library Binding,  Audio CD,  Mass Market Paperback,  Hardcover",9082,4426
0002051850,4.14,965,965," Literature & Fiction, Classics",3161695,616," School & Library Binding,  Kindle Edition,  Library Binding,  Audio Cassette,  Vinyl,  Unknown Binding,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",112582,53493
0002008599,4.19,568,568," Self-Help, Motivational",1577123,419," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",32893,15368
0002160595,4.18,11,11," Biographies & Memoirs, Leaders & Notable People",2744397,6," Paperback,  Hardcover",709,344
0002005018,4.35,65,65," Literature & Fiction, World Literature",4390551,41," Kindle Edition,  Paperback,  Hardcover,  Audio CD",5292,2578
0001714384,4.57,28,28,na,781005,21," Paperback,  Hardcover",1190,526
0002005395,4.26,34,34," Literature & Fiction, World Literature",18481294,20," Kindle Edition,  MP3 CD,  Paperback,  Hardcover",4437,2171
0002005379,4.63,196,196,na,13039521,103," Kindle Edition,  Preloaded Digital Audio Player,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",22297,10907
000171287X,4.86,110,110," Childrens Books, Literature & Fiction",723660,96," Paperback,  Hardcover",3605,1559
0002154463,4.36,28,28," Cookbooks, Food & Wine, Regional & International",143239,17,,1471,709
0002154129,4.75,36,36," Cookbooks, Food & Wine, Regional & International",703920,27, Hardcover,1885,876
0002180618,4.38,656,656, Business & Money,3903785,458," Audio CD,  Paperback,  Hardcover,  Audio Cassette",41817,20120
0001713256,4.51,787,787," Childrens Books, Animals",730999,605," Kindle Edition,  Library Binding,  Paperback,  Board book,  Hardcover",32933,15188
0001939777,4.57,90,90, Childrens Books,454627,71,,3477,1670
000100039X,4.64,1453,1453," Literature & Fiction, Poetry",1810945,1130,,69909,31772
0002221020,4.39,33,33, Literature & Fiction,7506585,20,,2993,1458
0002214962,4.1,21,21," Romance, Historical",4606839,9," Kindle Edition,  Paperback,  Hardcover",2304,1132
0002222590,3.93,29,29," Mystery, Thriller & Suspense, Thrillers & Suspense",8553001,18," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",3411,1707
0002216973,4.8,35,35," Literature & Fiction, Fiction",4748984,13," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",4897,2311
0002179687,4.91,11,11," Politics & Social Sciences, Social Sciences",1487854,9, Hardcover,319,148
0001712691,4.5,42,42," Childrens Books, Animals",1910783,33," Board book,  Paperback,  Hardcover",2003,887
0002227282,4.49,414,414," Literature & Fiction, Fiction",11157020,305," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",16682,7897
0002219247,4.22,257,257," Literature & Fiction, Fiction",5336275,198,,16994,8432
000217734X,4.79,24,24," History, Americas",1442203,14," Paperback,  Hardcover",961,458
000161102X,4.35,17,17, Literature & Fiction,1542999,13,,788,399
0001983679,4.89,129,129," Teen & Young Adult, Literature & Fiction",3792261,117,,6169,3014
0002242052,4.5,1067,1067," Literature & Fiction, Fiction",4302262,689,,68986,33257
0002226618,4.49,81,81," Literature & Fiction, Fiction",2021974,49,,11305,5689
0002247224,3.6,50,50," Science Fiction & Fantasy, Fantasy",2927143,33," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",3768,1772
000171337X,4.85,107,107," Childrens Books, Literature & Fiction",15620681,89,,2845,1379
0002251760,4.22,27,27," Literature & Fiction, United States",359254,11,,2076,948
0002211505,4.62,398,398," Literature & Fiction, Contemporary",2813501,348,,21296,10177
0001955071,4.49,79,79," Childrens Books, Animals",5551520,59," Board book,  Kindle Edition,  Paperback,  Hardcover",3280,1496
0002255030,4.67,12,12," Literature & Fiction, Literary",5666145,6," Paperback,  Hardcover",2387,1160
0001712713,4.65,146,146, Childrens Books,1231410,110," Kindle Edition,  Paperback,  Hardcover",5934,2615
0002162687,4.44,36,36," Science & Math, Biological Sciences",911926,26,,1917,899
0002256312,4.48,166,166," Literature & Fiction, Fiction",5486064,117," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",13756,6895
0002151731,3.92,38,38," New, Used & Rental Textbooks, Medicine & Health Sciences",4128486,20," Kindle Edition,  Paperback,  Hardcover",5095,2486
0002259834,3.56,73,73," Literature & Fiction, Contemporary",20333863,7,,10249,4936
0002241447,4.4,262,262, Literature & Fiction,2666490,151,,21366,9854
0001712810,4.75,110,110," Childrens Books, Animals",2360259,78,,4368,1957
0002247437,3.89,5007,5007," Literature & Fiction, Action & Adventure",4630264,3498,,535865,245455
0002252317,4.32,824,823," Literature & Fiction, Fiction",7580018,528,,46660,22444
000171760X,4.67,114,114,na,1086699,94,,4598,2007
0002250519,3.83,75,75," Cookbooks, Food & Wine, Kitchen Appliances",65619,68,,2121,1025
0002316196,4.63,65,65," Mystery, Thriller & Suspense, Mystery",3810424,46," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",3660,1721
0002255103,3.99,100,100," Literature & Fiction, World Literature",15521792,57," Kindle Edition,  Audio Cassette,  Unknown Binding,  Paperback,  Hardcover",9929,4501
0002257556,3.9,147,147," Literature & Fiction, Contemporary",11538760,111," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",15201,7259
0002318075,3.92,76,76," Mystery, Thriller & Suspense, Mystery",16648673,37," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",7878,3853
0002259524,4.28,300,300," Literature & Fiction, Fiction",5307137,135," Kindle Edition,  Library Binding,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",39475,18567
